osmid,y,x,street_count,highway,ref,geometry
111428008,41.1683804,-8.6884635,3,,,POINT (-8.6884635 41.1683804)
111428028,41.1673547,-8.6885946,3,,,POINT (-8.6885946 41.1673547)
111429621,41.1671451,-8.68815,3,,,POINT (-8.68815 41.1671451)
111439225,41.1571287,-8.681864,3,,,POINT (-8.681864 41.1571287)
111447960,41.1484218,-8.6541191,3,,,POINT (-8.6541191 41.1484218)
111447963,41.1481405,-8.6551386,3,,,POINT (-8.6551386 41.1481405)
111447973,41.147489,-8.6613495,3,,,POINT (-8.6613495 41.147489)
111448461,41.1485576,-8.6533191,3,,,POINT (-8.6533191 41.1485576)
111449494,41.1485111,-8.6532762,3,,,POINT (-8.6532762 41.1485111)
111451963,41.1486288,-8.654136,3,,,POINT (-8.654136 41.1486288)
111459759,41.148402,-8.6459497,3,,,POINT (-8.6459497 41.148402)
111459776,41.1483305,-8.6375375,3,,,POINT (-8.6375375 41.1483305)
111459780,41.1481085,-8.6359246,3,,,POINT (-8.6359246 41.1481085)
111461666,41.1509208,-8.6355071,3,,,POINT (-8.6355071 41.1509208)
111461672,41.1510758,-8.6336724,3,,,POINT (-8.6336724 41.1510758)
111464592,41.1539618,-8.6449368,3,motorway_junction,,POINT (-8.6449368 41.1539618)
111467270,41.1474276,-8.6337433,3,,,POINT (-8.6337433 41.1474276)
111467271,41.146954,-8.6328764,3,,,POINT (-8.6328764 41.146954)
111467467,41.1447416,-8.6267567,3,,,POINT (-8.6267567 41.1447416)
111481288,41.1414248,-8.613438,3,,,POINT (-8.613438 41.1414248)
111481561,41.1416134,-8.6145508,3,traffic_signals,,POINT (-8.6145508 41.1416134)
111481848,41.1416427,-8.6153133,4,,,POINT (-8.6153133 41.1416427)
111503635,41.1684974,-8.6880628,3,,,POINT (-8.6880628 41.1684974)
111505998,41.1726625,-8.6882792,3,,,POINT (-8.6882792 41.1726625)
111508025,41.1730415,-8.6883267,3,,,POINT (-8.6883267 41.1730415)
111508026,41.1731246,-8.688282,3,,,POINT (-8.688282 41.1731246)
111619646,41.1729125,-8.6886988,3,,,POINT (-8.6886988 41.1729125)
111630982,41.1742724,-8.6720372,3,,,POINT (-8.6720372 41.1742724)
111636733,41.1777347,-8.6558113,3,,,POINT (-8.6558113 41.1777347)
111636738,41.1780031,-8.6550442,3,,,POINT (-8.6550442 41.1780031)
111649545,41.17718,-8.6542056,3,,,POINT (-8.6542056 41.17718)
111799455,41.158278,-8.6302268,3,,,POINT (-8.6302268 41.158278)
111830195,41.1608929,-8.6465497,4,,,POINT (-8.6465497 41.1608929)
112263308,41.1758181,-8.6526817,3,motorway_junction,3,POINT (-8.6526817 41.1758181)
112265315,41.1777597,-8.6527948,3,,,POINT (-8.6527948 41.1777597)
112288397,41.1755873,-8.6534286,3,,,POINT (-8.6534286 41.1755873)
112288401,41.1753435,-8.6533976,3,,,POINT (-8.6533976 41.1753435)
112290052,41.1761621,-8.6517451,4,,,POINT (-8.6517451 41.1761621)
112290053,41.1750611,-8.6532698,4,,,POINT (-8.6532698 41.1750611)
112290054,41.1748229,-8.6535476,3,,,POINT (-8.6535476 41.1748229)
112291402,41.1752892,-8.6529931,4,,,POINT (-8.6529931 41.1752892)
112552931,41.1749388,-8.6526768,3,,,POINT (-8.6526768 41.1749388)
112552937,41.1749473,-8.652882,3,,,POINT (-8.652882 41.1749473)
112580224,41.1762338,-8.6510449,3,,,POINT (-8.6510449 41.1762338)
112580529,41.1764453,-8.6513189,3,,,POINT (-8.6513189 41.1764453)
112581017,41.1766913,-8.6516243,3,,,POINT (-8.6516243 41.1766913)
112589349,41.1686788,-8.6438249,3,motorway_junction,,POINT (-8.6438249 41.1686788)
112594210,41.1645081,-8.6371713,5,,,POINT (-8.6371713 41.1645081)
112594236,41.1653756,-8.6395478,3,,,POINT (-8.6395478 41.1653756)
112594241,41.1658371,-8.6403342,3,,,POINT (-8.6403342 41.1658371)
112594525,41.1660521,-8.640068,3,,,POINT (-8.640068 41.1660521)
112595515,41.1656611,-8.6405004,3,,,POINT (-8.6405004 41.1656611)
112613531,41.1821035,-8.6470294,3,,,POINT (-8.6470294 41.1821035)
