u,v,highway,length
122432550,12148105774,secondary,93.621
122432550,5291509666,residential,63.839
122432560,4442997329,secondary,117.001
122432560,122434048,secondary,143.34
122432561,1788788389,residential,13.805
122432561,1243857944,secondary,14.149
122432566,4026866874,residential,75.844
122432566,343646781,secondary,172.548
122432566,1243857944,secondary,59.743
122434048,122432561,secondary,15.789
122434048,1243857875,tertiary,39.933
122439068,1216466464,secondary,59.595
122439068,1216466461,secondary,133.915
122452407,3092747263,secondary,56.665
122452407,1352647036,secondary,101.597
122452409,299611381,residential,91.248
122452409,299612405,secondary,203.998
122452412,404754617,tertiary,39.762
122452412,122452414,secondary,174.631
122452414,122452417,secondary,117.685
122452414,299611722,secondary,220.311
122452414,402007436,secondary,166.295
122452417,126634476,secondary,196.873
122452417,126617352,residential,204.069
122452424,3896082259,secondary,152.032
122452424,122452425,secondary,200.941
122452425,126617430,secondary,115.039
122452425,122452427,secondary,162.145
122452427,2958410861,secondary,204.707
122452427,474559375,secondary,88.786
122452427,126617428,secondary,111.706
122452429,474802735,residential,133.464
122452429,343646831,secondary,138.338
122452434,126600959,tertiary,131.27
122452434,343646818,secondary,212.74
122452434,474728398,tertiary,62.163
122491912,1731170260,primary,265.723
122491912,444030213,residential,32.38
122491912,3570149405,primary,36.743
122491913,299597869,secondary,66.908
122491913,299583501,primary,190.55
122491913,789709529,residential,74.266
122491913,447867547,primary,93.776
122522947,10915038476,secondary_link,17.887
122522947,122525425,primary,111.905
122523494,481266081,secondary,29.896
122523494,122525234,secondary,98.135
122523605,122522947,primary,101.407
122523605,314075061,primary,42.93
122525234,10915038476,secondary,128.743
122525234,122525425,secondary_link,20.698
122525425,90380817,primary,409.525
122525425,122522947,primary,111.905
122528341,7072162105,tertiary,37.781
122528341,4722390329,primary,21.41
122528341,90380817,primary,63.019
122528346,122528348,tertiary,46.503
122528348,480482924,living_street,18.551
122528348,122528349,tertiary,46.594
122528349,1279341534,living_street,34.773
122528349,122528351,tertiary,53.915
122528351,480495881,tertiary,61.24
122549700,111467467,primary,278.664
122549700,475715798,residential,12.437
122549700,1788784885,primary,394.793
126397454,4505293701,secondary,205.775
126397454,3540014383,secondary,31.615
126401360,129692094,secondary,3.684
126401368,126397454,secondary,68.901
126401368,126411675,motorway_link,292.317
126401370,126401368,secondary,26.846
126401370,9654865826,secondary,23.601
126404025,4567404049,tertiary,81.078
126404025,126404027,secondary,27.441
126404027,126404031,secondary,8.985
126404031,126410483,secondary,35.611
126404031,7801967322,secondary,25.556
126410483,8268096110,secondary,51.089
126410483,3584513100,residential,269.294
126411674,4695525092,motorway_link,43.113
126411675,1725588010,motorway_link,247.901
126411675,126411674,motorway_link,88.977
126542182,4758581105,motorway_link,162.53
126542182,126542188,motorway_link,165.913
126542188,26016441,motorway_link,122.081
126543210,4758581105,motorway_link,203.105
126543210,126547500,motorway_link,127.373
126544301,1143318441,secondary,73.312
126544301,126544304,motorway_link,30.715
126544304,126542188,motorway_link,141.719
126544304,126547500,motorway_link,371.733
126547500,1264279478,motorway_link,146.481
126554316,3149005233,residential,34.184
126554316,129692092,secondary,118.265
126554316,1143318441,secondary,137.695
126580298,126580303,motorway_link,85.918
126580298,497690739,secondary_link,30.86
126580303,497690595,secondary,41.631
126580884,126580298,motorway_link,62.279
126580884,126581622,motorway,112.61
126581609,126581622,motorway_link,126.942
126581609,126580303,secondary_link,28.498
126581622,784545891,motorway,364.012
126582697,497690598,motorway_link,87.221
126582697,126583944,secondary,181.663
126583944,126582697,secondary,181.663
126583944,1264279310,secondary,67.088
126592365,1225943158,secondary,18.063
126592365,1788788654,secondary,71.308
126592365,10876563845,tertiary,37.026
126597343,12148105741,secondary,299.86
126597343,475341668,secondary,146.788
126597726,126598827,secondary,136.929
126598827,126600950,secondary,223.106
126598827,122439068,secondary,137.556
126600950,3117707239,living_street,194.076
126600950,3117707239,secondary,76.747
126600950,473849956,tertiary,86.936
126600950,343646810,tertiary,118.924
126600959,474385798,secondary,72.459
126600959,475044410,tertiary,58.528
126600959,122452434,tertiary,131.27
126604779,1561603567,secondary,8.72
126604779,1561603613,secondary,111.894
126604780,1471128087,secondary,28.437
126604780,1990333409,secondary,196.551
126604780,4004265925,residential,113.559
126604783,1990333409,secondary,24.186
126604783,425743085,secondary,189.124
126604783,1471136241,residential,389.708
126604785,3694392911,secondary,83.478
126604785,126608577,secondary,78.194
126604785,343646762,secondary,157.332
126604789,137981937,tertiary,102.632
126604789,428217475,tertiary,20.108
126604789,12106031784,tertiary,313.362
126604789,1216789877,tertiary,169.883
126608577,1202110494,secondary,86.898
126608577,126604785,secondary,78.194
126608577,343646762,living_street,206.827
126617351,126617352,secondary,150.1
126617351,2363578530,secondary,30.295
126617352,126617354,secondary,151.463
126617354,513920936,secondary,156.309
126617354,513920996,secondary,54.29
126617354,402007436,secondary,56.949
126617427,474682657,secondary,60.69
126617427,474546948,residential,110.914
126617428,126617430,secondary,150.015
126617428,122452427,secondary,111.706
126617428,137993249,secondary,116.393
126617430,126617428,secondary,150.015
126617430,10926636886,secondary,98.034
126617430,3897692246,secondary,76.715
126617431,122452424,secondary,137.323
126617431,126617433,secondary,197.442
126617433,2363578528,secondary,29.997
126617433,129552048,residential,175.49
126634476,299611700,secondary,6.294
126638962,4751729025,primary,35.451
126638962,4751728983,primary,71.113
126646458,4708680492,tertiary,95.501
126646458,129555296,tertiary,75.572
126647309,25632438,living_street,249.749
126647309,126646458,tertiary,126.147
128560274,473879871,secondary,68.743
128560274,8493177618,secondary,45.65
128560275,473874237,living_street,87.537
128560275,1422610110,secondary,19.646
128560419,431647237,residential,313.094
128560419,3170300783,secondary,226.539
128560419,128560421,secondary,137.594
128560421,435240964,tertiary,76.71
128560421,128560419,secondary,137.594
128560421,128560423,secondary,74.825
128560423,128560426,secondary,80.505
128560423,297880033,residential,88.654
128560423,128560421,secondary,74.825
128560426,128560423,secondary,80.505
128560426,128616477,secondary,28.443
128560429,128617100,secondary,24.233
128560429,2486710615,secondary,145.571
128560437,128566335,secondary,84.221
128560437,343646688,residential,131.499
128560437,128560439,secondary,78.959
128560439,5258500724,living_street,158.669
128560439,1216466457,secondary,214.109
128560439,128560437,secondary,78.959
